Team1Agent1,Team1Agent2,Team1Agent3,Team1Agent4,Team1Agent5,Team2Agent1,Team2Agent2,Team2Agent3,Team2Agent4,Team2Agent5,Map,Victory
killjoy,jett,skye,astra,sova,skye,sova,killjoy,jett,astra,Ascent,Team 2
reyna,killjoy,sova,sage,viper,sage,jett,sova,kayo,viper,Icebox,Team 1
raze,jett,astra,sova,viper,sova,jett,viper,skye,astra,Bind,Team 2
reyna,jett,sage,viper,sova,jett,viper,sova,sage,reyna,Icebox,Team 2
killjoy,breach,jett,sage,viper,astra,breach,cypher,kayo,raze,Fracture,Team 2
jett,skye,cypher,sova,omen,astra,jett,skye,sova,cypher,Haven,Team 1
astra,jett,sage,skye,cypher,astra,jett,viper,skye,cypher,Split,Team 1
jett,cypher,astra,sova,skye,jett,killjoy,astra,sage,sova,Ascent,Team 2
viper,sage,sova,jett,skye,jett,sova,viper,skye,cypher,Breeze,Team 1
jett,cypher,viper,sage,breach,jett,astra,cypher,breach,sova,Fracture,Team 1
astra,breach,jett,cypher,sova,jett,sage,sova,astra,killjoy,Ascent,Team 2
viper,raze,astra,sova,skye,viper,skye,raze,sova,astra,Bind,Team 2
cypher,astra,raze,breach,sage,jett,cypher,skye,astra,viper,Split,Team 1
sage,jett,reyna,viper,sova,viper,reyna,jett,sage,sova,Icebox,Team 1
skye,jett,astra,cypher,breach,raze,killjoy,viper,reyna,astra,Split,Team 1
jett,sova,astra,cypher,breach,kayo,jett,killjoy,sova,astra,Ascent,Team 1
jett,cypher,skye,sova,viper,viper,jett,sova,cypher,skye,Breeze,Team 1
sova,sage,viper,skye,jett,reyna,viper,jett,killjoy,sova,Icebox,Team 1
sova,jett,astra,sage,breach,jett,reyna,killjoy,sova,astra,Ascent,Team 2
cypher,raze,astra,breach,sage,reyna,jett,skye,astra,breach,Split,Team 1
killjoy,sage,jett,sova,viper,reyna,sage,viper,jett,sova,Icebox,Team 2
jett,cypher,viper,breach,raze,skye,cypher,breach,jett,astra,Fracture,Team 2
killjoy,skye,sova,astra,viper,jett,astra,skye,sova,cypher,Haven,Team 2
reyna,sova,killjoy,jett,viper,jett,viper,killjoy,sova,reyna,Icebox,Team 1
jett,cypher,sova,viper,skye,sova,cypher,skye,jett,viper,Breeze,Team 1
jett,astra,kayo,cypher,skye,skye,killjoy,astra,jett,sova,Haven,Team 2
astra,jett,cypher,breach,skye,skye,cypher,breach,viper,jett,Fracture,Team 1
viper,kayo,jett,sova,sage,jett,killjoy,reyna,sova,viper,Icebox,Team 2
breach,viper,astra,raze,skye,skye,raze,viper,brimstone,sova,Bind,Team 2
cypher,omen,jett,sova,sage,astra,skye,jett,cypher,sova,Haven,Team 2
brimstone,skye,kayo,cypher,reyna,astra,jett,cypher,breach,skye,Bind,Team 2
jett,sova,killjoy,breach,astra,reyna,jett,astra,sova,killjoy,Haven,Team 2
raze,viper,astra,sova,skye,viper,skye,astra,raze,sage,Bind,Team 2
jett,viper,cypher,sova,skye,reyna,jett,viper,cypher,sova,Breeze,Team 2
breach,jett,astra,sage,killjoy,skye,astra,raze,kayo,viper,Split,Team 1
jett,reyna,sage,viper,sova,reyna,sage,sova,jett,viper,Icebox,Team 1
raze,killjoy,astra,viper,reyna,raze,killjoy,kayo,omen,sage,Split,Team 1
breach,astra,sova,jett,killjoy,breach,jett,astra,sova,killjoy,Haven,Team 1
sova,jett,astra,breach,killjoy,viper,raze,jett,sova,astra,Bind,Team 1
raze,jett,viper,sova,sage,jett,reyna,sage,sova,viper,Icebox,Team 2
raze,astra,jett,sova,sage,raze,astra,skye,sage,viper,Bind,Team 2
sova,jett,sage,reyna,viper,viper,sova,jett,reyna,sage,Icebox,Team 1
raze,jett,killjoy,astra,sage,cypher,raze,astra,skye,sage,Split,Team 1
killjoy,viper,sova,reyna,sage,viper,reyna,jett,sova,sage,Icebox,Team 1
sova,jett,sage,viper,kayo,reyna,jett,sage,viper,sova,Icebox,Team 2
jett,sova,skye,viper,astra,viper,raze,astra,sage,sova,Bind,Team 1
sova,skye,jett,viper,brimstone,jett,viper,sova,astra,skye,Breeze,Team 1
jett,killjoy,sova,kayo,astra,jett,cypher,breach,sova,omen,Ascent,Team 1
jett,cypher,sova,skye,astra,omen,cypher,jett,viper,skye,Haven,Team 1
skye,astra,sova,killjoy,jett,breach,jett,sova,cypher,astra,Ascent,Team 1
breach,skye,killjoy,jett,astra,kayo,sova,astra,cypher,jett,Haven,Team 1
sova,killjoy,sage,astra,jett,astra,reyna,killjoy,sova,jett,Ascent,Team 1
jett,viper,reyna,sage,sova,reyna,sova,viper,jett,sage,Icebox,Team 2
jett,astra,cypher,breach,skye,reyna,raze,viper,killjoy,astra,Split,Team 1
cypher,astra,skye,breach,jett,kayo,jett,sova,viper,astra,Bind,Team 1
jett,reyna,astra,skye,breach,raze,cypher,skye,astra,sage,Split,Team 1
jett,breach,astra,sova,killjoy,jett,astra,sova,skye,cypher,Haven,Team 2
skye,sova,raze,breach,astra,skye,viper,sova,astra,sage,Bind,Team 1
killjoy,astra,raze,reyna,sage,jett,raze,astra,killjoy,sage,Split,Team 2
viper,jett,killjoy,sova,sage,sova,viper,sage,killjoy,reyna,Icebox,Team 2
skye,raze,cypher,astra,sage,raze,sage,killjoy,astra,skye,Split,Team 1
astra,kayo,raze,viper,skye,raze,viper,skye,astra,sova,Bind,Team 2
